identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
197533;22;12;1989;Frejus;ECON,JURI,FISC,DCAR,DEVE;university;teacher
197552;8;9;1965;České Budějovice;AGRI,DAND,DLAT,EMPL,D-US;;
24922;25;9;1974;Malmedy;REGI,JURI,DANZ,ITRE,D-ZA;secondary,university;lawyer,politician
35016;2;9;1975;GENOVA;TRAN,D-UK,D-IQ,D-IR,DLAT,INTA,IMCO,D-MX,D-JP;secondary,university;lawyer,manager,consultant
193273;28;10;1966;Kaiserslautern;DSEE,CULT,EMPL,LIBE,D-AL;;
96812;10;6;1961;;LIBE,DACP,DAFR,DEVE,AFCO,D-IR,D-CN,DLAT;university,phd;researcher
197470;16;3;1985;Tournai;INTA,LIBE,DMAG,D-CA,DMED;;
22858;20;10;1959;Sélestat;BUDG,LIBE,DMAS,DMED,DMAG;university;politician,official,manager
197596;12;4;1960;Viitasaari;ENVI,DCAM,DLAT;;
130833;27;2;1953;;DMER,AFET,DANZ,IMCO,CULT,DROI,DLAT;;
125038;11;2;1965;Donostia San Sebastián;LIBE,DPAL,DMED,AFCO,PETI,DACP,DAFR;university;
124844;22;5;1969;Benevento;ECON,D-MD,DEPA,ENVI,DACP,DCAB;university;official,researcher,manager
197843;8;12;1956;Lietuva;DEPA,AFET,ITRE,D-UA,D-RU,D-IL;;
197419;15;8;1972;Koper;D-ME,ITRE,TRAN,D-RS;;
197546;29;6;1980;Moravská Třebová;IMCO,D-US,CULT,D-IN;;
28390;31;7;1952;Nador (Marruecos);DAND,ITRE,DLAT,IMCO,D-UK,DSAS,DASE;university,phd;media,official,teacher,researcher,manager
58766;3;1;1982;RASINARI;BUDG,SANT,D-US,ENVI,TRAN,D-MD,DNAT;university;politician,official
213330;;;;;INTA,D-IN,CONT,D-ZA;university;lawyer,politician,official,manager
190713;12;7;1979;Wien;DKOR,SEDE,AFET,LIBE,DCAR,DSEE,EMPL,D-UK;secondary,university;politician,teacher,consultant
250235;7;12;1961;Wrocław;REGI,DLAT,JURI,DCAS;;
197449;6;11;1986;;ENVI,ITRE;;
197628;27;2;1956;Toulouse;LIBE,DEEA,D-UA,DEVE,JURI;university,phd;lawyer,manager
124837;28;10;1962;Rastatt;D-ZA,INTA,ECON,SEDE,FISC,D-RU;university,phd;politician,official
197403;31;1;1988;Pieta;PETI,IMCO,DMED,DACP,DCAB,EMPL,ITRE,DPAL;;
197634;1;8;1976;Alcochete;AFET,ECON,FISC,DMAG,D-IN,DMED;university;
197845;19;2;1988;Sofia;D-UK,ITRE,REGI,D-JP,CONT,IMCO,DASE;university;
221463;4;8;1970;;PECH,DSEE,ITRE,AGRI;;
197537;17;8;1961;Praha;ENVI,SEDE,D-US,DMED,LIBE,D-IL;;
238639;17;5;1989;;ITRE,FEMM,D-ME,ECON,SANT,D-CN;;
124996;2;2;1963;;TRAN,EMPL,D-UK,DARP;secondary;
126644;12;12;1969;Barcelona;DMER,DLAT,INTA,EMPL,D-MX,D-UK,IMCO,PETI;;
197655;;;;;CONT,D-ZA,LIBE,PETI;;
96796;24;12;1949;Kraków;D-CL,CULT,DANZ,DLAT;university,phd;teacher
197495;8;4;1973;Czestochowa;ENVI,DASE,ITRE;;
124771;1;8;1953;Nancy;DEVE,CONT,EMPL,D-AL,D-ME,DACP,DAFR,D-MK,D-RS,DSEE;secondary;
96779;8;4;1948;Nisko;D-US,INTA,ECON,D-MX,D-UK,DLAT,AFCO,FISC;university,phd;politician,official,researcher,manager
125046;8;1;1979;Oviedo;ECON,FISC,D-ME,BUDG,D-CN;university;researcher,manager
197445;3;8;1990;Wiesbaden;BUDG,LIBE,D-CN,D-IN;university;
254721;25;4;1979;Santarém;ITRE,PECH,D-US,IMCO,FEMM,DCAM,DCAS,DLAT;;
197654;3;4;1963;Dublin;ITRE,TRAN,D-AL,D-US,REGI,D-UK,D-CN;university;teacher
96681;3;3;1960;Linkuva;EMPL,FEMM,DEPA,CULT,DSCA;;
1909;14;11;1955;Oldenburg;INTA,DASE,D-JP;university;politician,teacher,manager
197466;9;5;1967;Giessen;ENVI,D-JP,ITRE,TRAN,D-AL,D-CA;;
24594;1;10;1973;Haguenau;AGRI,DEEA,EMPL,D-IR;university,phd;politician
218349;;;;;ECON,D-US,INTA,FEMM,DKOR;;
96791;25;11;1966;Jasło;ENVI,TRAN,FEMM,DACP,DCAB,SANT,DARP;university;politician,official
197438;15;9;1969;Zagreb;CONT,D-US,D-CA,JURI,D-JP;university;lawyer
197695;27;3;1967;New York;INTA,ECON,D-IL,AFET,BUDG,IMCO,DMED;university;manager,consultant
96709;;;;;D-IN,IMCO,DANZ,INTA,CULT,DMER,DLAT;;
23816;;;;;ITRE,DACP,DAFR,BUDG,D-BR;university;manager
197566;5;5;1957;Piotrkow Trybunalski;D-UA,AFET,SEDE,DEPA,INTA;;
197840;26;1;1958;Panevėžys;SEDE,DSCA,DEVE,DEPA,AFET,LIBE;;
124806;12;1;1971;;AFET,DCAR,D-UK,DNAT,INTA,SEDE,D-US,DLAT;secondary;lawyer,politician
197457;4;9;1970;Munchen;ITRE,D-US,D-CN,BUDG,ECON;;
197425;10;11;1972;DERNBACH;ECON,D-IN,DCAS,INTA,EMPL,D-RU;university,phd;
124708;;;;;IMCO,D-US,INTA,DMER,DLAT;university,phd;politician,official,researcher,manager
204346;;;;;AFET,INTA,DACP,DCAB,IMCO,D-US;;
239257;19;1;1953;;ENVI,TRAN,D-AL,AGRI,DSEE,DLAT;;
125001;22;7;1966;;AFET,D-US,LIBE;;
96771;12;4;1962;Wyszków;AGRI,D-RS,PECH,DSEE;;
124877;;;;;DCAB,DACP,LIBE,ENVI,FEMM,D-CA;;
197435;4;1;1961;Bad Wildungen;AFCO,EMPL,DMER,DANZ;;politician,official,manager
120478;1;12;1955;Berlin;REGI,CULT,D-IL,DMED,DEPA,DSCA;university;official
197398;24;10;1964;Gävle;ENVI,D-RU,TRAN,AGRI,D-US,D-CN;secondary,university,phd;doctor,teacher
204414;19;9;1975;Madrid;EMPL,FEMM,DAND,DLAT,ENVI,ITRE;;
197835;4;6;1958;;ECON,DSAS,BUDG,FEMM,FISC,D-IN;;
197670;;;;;D-MK,AFET,D-UK,DSEE,TRAN,D-US;secondary,university;
96711;22;8;1974;Arras;ENVI,D-MX,DLAT,ECON,DASE;;
183793;28;6;1975;;AGRI,D-TR,ITRE,DMAG;;
193292;26;5;1967;Luxembourg;DCAM,SANT,ENVI,TRAN,DLAT,AGRI;secondary,university;official,teacher,manager
197828;2;9;1965;;DPAL,AFET,DMAS,DLAT,DROI,SEDE,D-CL;;
197459;;;;;DEVE,DPAP,DACP,DAFR,DCAR,AFET,FEMM;;
197822;25;8;1969;Ancona;PETI,DKOR,ITRE;;
249285;24;8;1978;Saint- Brieuc;ENVI,INTA;;
197547;;;;;REGI,D-JP,AGRI,FEMM,DMED;;
197390;6;8;1986;Tyresö;D-IQ,ITRE,LIBE,EMPL,SANT,DMAG;;
134605;6;8;1979;BIRLAD;D-MD,LIBE,DEPA,AFET,CONT,PETI,D-TR;secondary,university;lawyer,politician,researcher,manager
197785;9;3;1970;Llerena;FEMM,AGRI,D-MX,D-CL,DLAT,EMPL;;
38420;1;3;1978;Drobeta Turnu-Severin;ITRE,SANT,DASE,ECON,ENVI,DARP;university,phd;politician
183338;2;2;1984;;TRAN,AFET,ITRE,DPAL;secondary;engineer,manager
197493;22;4;1991;Paide;AFET,AFCO,D-US,DCAM,DLAT,LIBE,DROI,SEDE,DACP,DAFR;university;politician,manager
197825;30;6;1950;Regalbuto;JURI,D-CN,PECH,DASE;;
197433;19;11;1968;Köln;LIBE,D-CL,D-UK,D-IN,AFET;;
197648;18;5;1992;;ENVI,PETI,DSCA,DEPA,AGRI,D-MD;secondary,university;farmer,politician,manager
125093;18;4;1975;Athina;AFET,DROI,D-TR,LIBE,D-AL;university;
197646;26;12;1956;Oradea;D-CA,REGI,BUDG,D-CL;;
204332;16;5;1967;Dublin;DEVE,INTA,D-UK,D-ZA,FEMM,D-TR;;
218347;;;;;AFET,D-MK,D-UK,LIBE,D-TR,D-RS,DARP,DLAT;;
197826;24;12;1963;Latina;CONT,ITRE,REGI,DARP,ENVI,DACP,DCAB;university;teacher
197391;29;9;1960;Kristianstad;ENVI,SANT,CULT,FEMM,D-ZA;;
197738;26;7;1991;Se Nova;ECON,FISC,D-CN,ENVI,D-US;;
124873;21;3;1979;;JURI,D-MK,AFET,TRAN,AFCO,PETI,DSEE,D-US;;
197616;17;4;1968;Portogruaro;PECH,DLAT,DEPA,ENVI,REGI,AGRI,D-RU,DAND;;
236050;5;2;1987;Calais;ITRE,D-MX,AGRI,D-IL,DPAL;;
28586;21;3;1955;Athina;BUDG,ECON,D-US,REGI;university;engineer,manager
197657;16;1;1969;Bacau;;;
197415;7;12;1959;Nicosia;CULT,D-CL,DPAL,REGI,D-CA,DLAT;university,phd;politician,teacher,researcher,manager,consultant
197422;5;6;1972;Landau;ENVI,FEMM,D-ZA,AGRI,DPAP;secondary;
197894;6;3;1956;Budapest;AFCO,DMAS,TRAN,D-TR;university,phd;lawyer,media,politician,official,teacher,researcher,manager
197452;8;3;1976;Kranj;AFET,D-RS,ITRE,SEDE,D-ME,DNAT;;
197682;17;10;1966;Bad Ischl;CULT,DACP,DCAB,CONT,REGI,DPAP;secondary;media,manager
197778;11;4;1983;Breda;ITRE,REGI,DPAP,TRAN,DCAR,DEEA;;
236053;12;7;1989;Marseille;ENVI,ITRE,DASE;;
125021;4;11;1960;Vleuten-De-Meern;EMPL,DASE,INTA,DPAP;university;researcher
183916;1;7;1968;;BUDG,IMCO,D-IQ,D-CN,REGI;;
96653;10;11;1982;Nitra;AGRI;;
197787;27;2;1955;Roma;ECON,EMPL,AFCO,FISC,DKOR,CONT,IMCO,D-US,DLAT;secondary,university;official,teacher,researcher,manager
197796;31;8;1970;Bologna;TRAN,PECH,D-MK,DLAT,DACP,DPAC;;
96725;8;10;1976;;ENVI,ECON,D-UK,D-CN,CONT,D-US;;
204416;8;2;1972;Paris;CONT,CULT,JURI,D-IL,EMPL,DMAG,DMED;university,phd;lawyer,media,teacher,manager,consultant
197447;26;2;1989;Kranj;SANT,D-MK,CULT,EMPL,ENVI,DPAL,DCAS,DACP,DAFR;university;media
188945;29;4;1979;Bochum;EMPL,DKOR,ITRE,D-JP;secondary,university;politician
197786;19;3;1987;Pisa;AFET,D-IL,DMED,LIBE,DROI,DARP,D-US;;
125043;7;1;1958;Madrid;D-CL,DCAR,INTA,D-UK,TRAN,D-JP,DLAT;university;official,manager
243979;2;6;1993;Todi;ENVI,DACP,DAFR,DROI,D-US;;
197473;27;4;1988;Kemnath;ENVI,REGI,DCAS,IMCO,LIBE,AFCO,D-BR,DMER,DLAT;;
28161;;;;;DPAL,ENVI,PETI,SANT,DMED;;
124852;5;5;1966;Kherson;AFET,D-MK,ECON,D-AL;;
197720;;;;;ECON,FEMM,D-CN,DEVE,D-US;;
96891;2;2;1958;S. Pietro Vernotico;INTA,AGRI,D-US,DMAS,DMED,DLAT;university,phd;researcher
96734;22;11;1981;W.-P.-St. Guben;ENVI,PECH,D-MX;university;
125004;2;2;1963;Senovo;D-RS,AGRI,ITRE,REGI,D-CN,DACP,DAFR;secondary,university;politician,official,manager
247735;19;7;1984;Barcelona;IMCO,DMAG,DMED,DACP,DAFR,ITRE,FEMM,D-US,D-IN;university,phd;politician,researcher,manager
197765;20;4;1973;Levoca;D-RU,CULT,REGI,LIBE,D-UA,D-IN,DEPA;;
