identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197655;cristian terheş;Terheş;Cristian;RO;ECR;MALE;CONT,D-ZA,LIBE,PETI;Zalău;4;12;1978;;;;;politician,priest
96796;ryszard antoni legutko;Legutko;Ryszard Antoni;PL;ECR;MALE;D-CL,CULT,DANZ,DLAT;Kraków;24;12;1949;;;;phd;teacher
197495;marek paweł balt;Balt;Marek Paweł;PL;S&D;MALE;ENVI,DASE,ITRE;Czestochowa;8;4;1973;;;;;
124771;dominique bilde;Bilde;Dominique;FR;ID;FEMALE;DEVE,CONT,EMPL,D-AL,D-ME,DACP,DAFR,D-MK,D-RS,DSEE;Nancy;1;8;1953;;;;secondary;politician,businessperson
96779;danuta maria hübner;Hübner;Danuta Maria;PL;PPE;FEMALE;D-US,INTA,ECON,D-MX,D-UK,DLAT,AFCO,FISC;Nisko;8;4;1948;;;;phd;researcher,politician,official,manager
125046;jonás fernández;Fernández;Jonás;ES;S&D;MALE;ECON,FISC,D-ME,BUDG,D-CN;Oviedo;8;1;1979;;;;university;politician,researcher,manager
197445;moritz körner;Körner;Moritz;DE;Renew;MALE;BUDG,LIBE,D-CN,D-IN;Wiesbaden;3;8;1990;;;;university;politician
254721;vânia neto;NETO;Vânia;PT;PPE;FEMALE;ITRE,PECH,D-US,IMCO,FEMM,DCAM,DCAS,DLAT;Santarém;25;4;1979;;;;;politician
197654;ciarán cuffe;Cuffe;Ciarán;IE;Verts/ALE;MALE;ITRE,TRAN,D-AL,D-US,REGI,D-UK,D-CN;Dublin;3;4;1963;;;University of Maine,University College Dublin;university;politician,teacher
96681;vilija blinkevičiūtė;Blinkevičiūtė;Vilija;LT;S&D;FEMALE;EMPL,FEMM,DEPA,CULT,DSCA;Linkuva;3;3;1960;;;Vilnius University Faculty of Law;;politician,lawyer
1909;bernd lange;Lange;Bernd;DE;S&D;MALE;INTA,DASE,D-JP;Oldenburg;14;11;1955;;;University of Göttingen;university;screenwriter,teacher,politician,trade unionist,manager
197466;jutta paulus;Paulus;Jutta;DE;Verts/ALE;FEMALE;ENVI,D-JP,ITRE,TRAN,D-AL,D-CA;Giessen;9;5;1967;;;Herderschule Gießen,University of Marburg;;politician
24594;anne sander;Sander;Anne;FR;PPE;FEMALE;AGRI,DEEA,EMPL,D-IR;Haguenau;1;10;1973;;Jean-Marie Sander;;phd;politician,researcher
218349;michiel hoogeveen;Hoogeveen;Michiel;NL;ECR;MALE;ECON,D-US,INTA,FEMM,DKOR;Leiden;1;1;1989;;;Free University of Amsterdam;;politician
96791;elżbieta katarzyna łukacijewska;Łukacijewska;Elżbieta Katarzyna;PL;PPE;FEMALE;ENVI,TRAN,FEMM,DACP,DCAB,SANT,DARP;Jasło;25;11;1966;;;;university;official,politician
197438;mislav kolakušić;Kolakušić;Mislav;HR;NI;MALE;CONT,D-US,D-CA,JURI,D-JP;Zagreb;15;9;1969;;;Faculty of Law of the University of Zagreb;university;politician,lawyer
197695;anna-michelle asimakopoulou;Asimakopoulou;Anna-Michelle;GR;PPE;FEMALE;INTA,ECON,D-IL,AFET,BUDG,IMCO,DMED;New York;27;3;1967;;;Cornell University,London School of Economics and Political Science,Complutense University of Madrid,Bryn Mawr College;university;researcher,politician,lawyer,consultant,manager
96709;morten løkkegaard;Løkkegaard;Morten;DK;Renew;MALE;D-IN,IMCO,DANZ,INTA,CULT,DMER,DLAT;Helsingør;20;12;1964;;;Danish School of Journalism;;politician,media,communications adviser
23816;andrás gyürk;Gyürk;András;HU;NI;MALE;ITRE,DACP,DAFR,BUDG,D-BR;Budapest;2;12;1972;;;Eötvös Loránd University,Budapest Business School Faculty of Finance and Accountancy,Franciscan Gymnasium, Szentendre;university;politician,manager
197566;witold jan waszczykowski;Waszczykowski;Witold Jan;PL;ECR;MALE;D-UA,AFET,SEDE,DEPA,INTA;Piotrkow Trybunalski;5;5;1957;;;;;
197840;rasa juknevičienė;Juknevičienė;Rasa;LT;PPE;FEMALE;SEDE,DSCA,DEVE,DEPA,AFET,LIBE;Panevėžys;26;1;1958;;;;;politician
