identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197863;maria walsh;Walsh;Maria;IE;PPE;FEMALE;AGRI,REGI,LIBE;Boston;11.0;6.0;1987.0;;;Griffith College Dublin;;politician,businessperson
130100;hilde vautmans;Vautmans;Hilde;BE;Renew;FEMALE;AFET,LIBE;Sint-Truiden;2.0;5.0;1972.0;;;;university;politician
103381;terry reintke;Reintke;Terry;DE;Verts/ALE;FEMALE;CONT;Gelsenkirchen;9.0;5.0;1987.0;;;Free University Berlin;university;politician
257256;taner kabilov;Kabilov;Taner;BG;Renew;MALE;REGI,TRAN;Plovdiv;28.0;4.0;1987.0;;;;;
197589;laurence farreng;Farreng;Laurence;FR;Renew;FEMALE;CULT,EMPL,JURI;Nimes;6.0;9.0;1966.0;;;;;politician,manager,consultant
197408;hildegard bentele;Bentele;Hildegard;DE;PPE;FEMALE;DEVE,ITRE,ENVI;Ludwigsburg;22.0;5.0;1976.0;;;Free University Berlin;university;politician,official
239260;denis nesci;Nesci;Denis;IT;ECR;MALE;ECON,IMCO,FISC,REGI;Polistena;25.0;7.0;1981.0;;;;;politician
197432;jan-christoph oetjen;Oetjen;Jan-Christoph;DE;Renew;MALE;TRAN,LIBE,DROI;Rotenburg;21.0;2.0;1978.0;;;Leibniz University Hannover;university;politician
197825;raffaele stancanelli;Stancanelli;Raffaele;IT;PfE;MALE;AGRI,ITRE,JURI;Regalbuto;30.0;6.0;1950.0;;;University of Catania;;politician
257000;stephen nikola bartulica;Bartulica;Stephen Nikola;HR;ECR;MALE;ECON,PECH,CULT,SEDE;;;;;;;;;
124834;martin sonneborn;Sonneborn;Martin;DE;NI;MALE;LIBE,AFET;Göttingen;15.0;5.0;1965.0;;Engelbert Sonneborn;;phd;writer,manager,media,politician,official
256921;laurent castillo;Castillo;Laurent;FR;PPE;MALE;ENVI,SANT,TRAN;Casablanca;12.0;3.0;1962.0;;;;;
124893;bogdan andrzej zdrojewski;Zdrojewski;Bogdan Andrzej;PL;PPE;MALE;INTA,CULT;Kłodzko;18.0;5.0;1957.0;;;;phd;manager,teacher
257084;joanna scheuring-wielgus;Scheuring-Wielgus;Joanna;PL;S&D;FEMALE;CULT,FEMM,IMCO,PETI;Torun;8.0;2.0;1972.0;;;;;
257046;marta wcisło;Wcisło;Marta;PL;PPE;FEMALE;REGI,AGRI;Kraśnik;26.0;2.0;1969.0;;;;;
197574;damien carême;Carême;Damien;FR;The Left;MALE;LIBE,PETI,DEVE;Joeuf;16.0;11.0;1960.0;;;;;politician
256811;aurelijus veryga;Veryga;Aurelijus;LT;ECR;MALE;ENVI,SANT;Užventis;8.0;8.0;1976.0;;;;;
256998;rachel blom;Blom;Rachel;NL;PfE;FEMALE;EMPL,TRAN;Rotterdam;7.0;10.0;1987.0;;;;;
96761;axel voss;Voss;Axel;DE;PPE;MALE;JURI,IMCO,LIBE;Hameln;7.0;4.0;1963.0;;;Trier University;;lawyer,politician,teacher
197780;bart groothuis;Groothuis;Bart;NL;Renew;MALE;INTA,ITRE,AFET,SEDE;Reutum;1.0;1.0;1981.0;;;Radboud University Nijmegen;;politician
197824;giuseppe milazzo;Milazzo;Giuseppe;IT;ECR;MALE;PECH,REGI,LIBE;Palermo;21.0;8.0;1977.0;;;Libera Università Maria SS. Assunta;;politician
124850;emil radev;Radev;Emil;BG;PPE;MALE;JURI,LIBE,PETI;Varna;26.0;5.0;1971.0;;;University of Economics - Varna,Varna Free University;;lawyer,politician
257094;giovanni crosetto;Crosetto;Giovanni;IT;ECR;MALE;ITRE,ECON;Savigliano;12.0;8.0;1990.0;;;;;
197417;tomislav sokol;Sokol;Tomislav;HR;PPE;MALE;IMCO,ENVI,AFCO,SANT;Zagreb;20.0;9.0;1982.0;;;University of Zagreb;;politician
257083;joão oliveira;Oliveira;João;PT;The Left;MALE;BUDG,EMPL,ITRE;Évora;9.0;7.0;1979.0;;;;;
256885;bruno tobback;Tobback;Bruno;BE;S&D;MALE;ITRE,ENVI;Leuven;22.0;8.0;1969.0;;;;;
96756;sabine verheyen;Verheyen;Sabine;DE;PPE;FEMALE;AFCO,IMCO,CULT;Aachen;24.0;10.0;1964.0;;;St. Ursula Gymnasium Aachen,FH Aachen;university;politician
23699;kateřina konečná;Konečná;Kateřina;CZ;NI;FEMALE;IMCO,ENVI,SANT;Nový Jičín;20.0;1.0;1981.0;;;Masaryk University Faculty of Economics and Administration,University of Finance and Administration,Masaryk University Faculty of Law,Q12018667;university;politician,official
124722;csaba molnár;Molnár;Csaba;HU;S&D;MALE;CONT,ITRE;Csorna;4.0;12.0;1975.0;;;Eötvös Loránd University;university;lawyer,researcher,politician
257255;stanislav stoyanov;Stoyanov;Stanislav;BG;ESN;MALE;AFET,TRAN,IMCO,AGRI;Varna;5.0;4.0;1981.0;;;;;
