id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/256999;Person;;;256999;Rosa María SERRANO SIERRA;Serrano Sierra;Rosa María;SERRANOSIERRAR;ES;S&D
person/125052;Person;;;125052;Juan Carlos GIRAUTA VIDAL;Girauta Vidal;Juan Carlos;GIRAUTAVIDAL;ES;PfE
person/237465;Person;;;237465;Matthias ECKE;Ecke;Matthias;ECKE;DE;S&D
person/256957;Person;;;256957;Mary KHAN;Khan;Mary;KHANHOHLOCHM;DE;ESN
person/220871;Person;;;220871;Rihards KOLS;Kols;Rihards;KOLSR;LV;ECR
person/197533;Person;;;197533;Manon AUBRY;Aubry;Manon;AUBRY;FR;The Left
person/91636;Person;;;91636;Marit MAIJ;Maij;Marit;MAIJM;NL;S&D
person/197552;Person;;;197552;Veronika VRECIONOVÁ;Vrecionová;Veronika;VRECIONOVA;CZ;ECR
person/257021;Person;;;257021;Diego SOLIER;SOLIER;Diego;SOLIERFERNANDEZD;ES;NI
person/24922;Person;;;24922;Pascal ARIMONT;Arimont;Pascal;ARIMONT;BE;PPE
person/256833;Person;;;256833;Lena SCHILLING;Schilling;Lena;SCHILLINGL;AT;Verts/ALE
person/197475;Person;;;197475;Christine ANDERSON;Anderson;Christine;ANDERSON;DE;ESN
person/257160;Person;;;257160;Marco TARQUINIO;Tarquinio;Marco;TARQUINIOM;IT;S&D
person/257007;Person;;;257007;Erik KALIŇÁK;Kaliňák;Erik;KALINAKE;SK;NI
person/257457;Person;;;257457;Zsuzsanna BORVENDÉG;Borvendég;Zsuzsanna;BORVENDEGZ;HU;ESN
person/96812;Person;;;96812;Juan Fernando LÓPEZ AGUILAR;López Aguilar;Juan Fernando;LOPEZAGUILAR;ES;S&D
person/257057;Person;;;257057;João COTRIM DE FIGUEIREDO;Cotrim De Figueiredo;João;COTRIMDEFIGUEIREDOJ;PT;Renew
person/197470;Person;;;197470;Saskia BRICMONT;Bricmont;Saskia;BRICMONT;BE;Verts/ALE
person/256917;Person;;;256917;Majdouline SBAI;Sbai;Majdouline;SBAIM;FR;Verts/ALE
person/22858;Person;;;22858;Fabienne KELLER;Keller;Fabienne;KELLER;FR;Renew
person/198176;Person;;;198176;Roman HAIDER;Haider;Roman;HAIDER;AT;PfE
person/256979;Person;;;256979;Oliver SCHENK;Schenk;Oliver;SCHENKO;DE;PPE
